date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:37:10	101/101	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/robots.txt		(from )
08:37:10	13227/13227	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/	C:/My%20Web%20Sites/MakerDAO/makerdao.com/index.html	(from )
08:37:10	612/612	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/img/favicon.png	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/img/favicon.png	(from https://makerdao.com/)
08:37:10	1511/1511	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Aug%202018%2007:37:10%20GMT	https://makerdao.com/apple-touch-icon.png	C:/My%20Web%20Sites/MakerDAO/makerdao.com/apple-touch-icon.png	(from https://makerdao.com/)
08:37:11	1981/1981	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/css/normalize.min.css	C:/My%20Web%20Sites/MakerDAO/makerdao.com/css/normalize.min.css	(from https://makerdao.com/)
08:37:11	15159/15159	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/css/main.css?v=6	C:/My%20Web%20Sites/MakerDAO/makerdao.com/css/main1bce.css	(from https://makerdao.com/)
08:37:12	5788/5788	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/js/vendor/modernizr-custom.js	C:/My%20Web%20Sites/MakerDAO/makerdao.com/js/vendor/modernizr-custom.js	(from https://makerdao.com/)
08:37:12	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%22884376f7ab4e7ce9e18c0a8227486025%22	https://use.fontawesome.com/7454cf21dc.js	C:/My%20Web%20Sites/MakerDAO/use.fontawesome.com/7454cf21dc.js	(from https://makerdao.com/)
08:37:13	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/MakerDAO/www.google-analytics.com/analytics.js	(from https://makerdao.com/)
08:37:13	14451/14451	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/img/MKR-logo-rounded.svg	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/img/MKR-logo-rounded.svg	(from https://makerdao.com/)
08:37:14	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:14%20GMT	https://makerdao.com/whitepaper	C:/My%20Web%20Sites/MakerDAO/makerdao.com/whitepaper	(from https://makerdao.com/)
08:37:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:14%20GMT	http://makerdao.com/whitepaper/	C:/My%20Web%20Sites/MakerDAO/makerdao.com/whitepaper/index.html	(from https://makerdao.com/)
08:37:14	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:14%20GMT	https://makerdao.com/purple	C:/My%20Web%20Sites/MakerDAO/makerdao.com/purple	(from https://makerdao.com/)
08:37:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:14%20GMT	http://makerdao.com/purple/	C:/My%20Web%20Sites/MakerDAO/makerdao.com/purple/index.html	(from https://makerdao.com/)
08:37:14	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:14%20GMT	https://makerdao.com/team	C:/My%20Web%20Sites/MakerDAO/makerdao.com/team	(from https://makerdao.com/)
08:37:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:14%20GMT	http://makerdao.com/team/	C:/My%20Web%20Sites/MakerDAO/makerdao.com/team/index.html	(from https://makerdao.com/)
08:37:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Aug%202018%2007:37:14%20GMT	https://makerdao.com/careers	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers	(from https://makerdao.com/)
08:37:15	12479/12479	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/careers/	C:/My%20Web%20Sites/MakerDAO/makerdao.com/careers/index.html	(from https://makerdao.com/)
